chinese_pharmaceutical_name,pinyin,property,meridian,taste
大青叶,Da Qing Ye,Cold,"Liver meridian,Stomach meridian,Heart meridian",Bitter
大蒜,Da Suan,Warm,"Lung meridian,Spleen meridian,Stomach meridian",Pungent
大血藤,Da Xue Teng,Even,"Large intestine meridian,Liver meridian",Bitter
大叶紫珠,Da Ye Zi Zhu,Even,"Lung meridian,Liver meridian,Stomach meridian","Bitter,Pungent"
大枣,Da Zao,Warm,"Spleen meridian,Stomach meridian,Heart meridian",Sweet
大皂角,Da Zao Jiao,Warm,"Large intestine meridian,Lung meridian","Salty,Pungent"
丹参,Dan Shen,Mildly warm,"Liver meridian,Heart meridian",Bitter
淡竹叶,Dan Zhu Ye,Cold,"Stomach meridian,Small intestine meridian,Heart meridianOthers meridian","Bland,Sweet"
当归,Dang Gui,Warm,"Liver meridian,Spleen meridian,Heart meridian","Sweet,Pungent"
当药,Dang Yao,Cold,"Large intestine meridian,Liver meridian,Stomach meridian",Bitter
党参,Dang Shen,Even,"Lung meridian,Spleen meridian",Sweet
刀豆,Dao Dou,Warm,"Kidney meridian,Stomach meridian",Sweet
灯心草,Deng Xin Cao,Mildly cold,"Lung meridian,Small intestine meridian,Heart meridianOthers meridian","Bland,Sweet"
灯盏细辛,Deng Zhan Xi Xin,Warm,"Liver meridian,Heart meridian","Mildly bitter,Pungent"
地骨皮,Di Gu Pi,Cold,"Liver meridian,Lung meridian",Sweet
地黄,Di Huang,Cool,"Heart meridian, Liver meridian, Kidney meridian","Sweet,Bitter"
地榆,Di Yu,Mildly cold,"Large intestine meridian,Liver meridian","Bitter,Astringent,Sour"
颠茄草,Dian Qie Cao,N/A,N/AOthers meridian,"Mildly bitter,Pungent"
丁公藤,Ding Gong Teng,Warm,"Liver meridian,Spleen meridian,Stomach meridian",Pungent
丁香,Ding Xiang,Warm,"Lung meridian,Spleen meridian,Kidney meridian,Stomach meridian",Pungent
冬瓜皮,Dong Gua Pi,Cool,"Spleen meridian,Small intestine meridianOthers meridian",Sweet
冬凌草,Dong Ling Cao,Mildly cold,"Lung meridian,Liver meridian,Stomach meridian","Sweet,Bitter"
豆蔻,Dou Kou,Warm,"Lung meridian,Spleen meridian,Stomach meridian",Pungent
独活,Du Huo,Mildly warm,"Bladder meridian,Kidney meridian","Bitter,Pungent"
独一味,Du Yi Wei,Even,Liver meridian,"Sweet,Bitter"
杜仲,Du Zhong,Warm,"Liver meridian,Kidney meridian",Sweet
杜仲叶,Du Zhong Ye,Cold,"Liver meridian,Kidney meridian","Sweet,Bitter"
莪术,E Zhu,N/A,"Liver meridian,Spleen meridian","Bitter,Pungent"
鹅不食草,E Bu Shi Cao,Warm,Lung meridian,Pungent
番泻叶,Fan Xie Ye,Cold,Large intestine meridian,"Sweet,Bitter"
防风,Fang Feng,Mildly warm,"Bladder meridian,Liver meridian,Spleen meridian","Sweet,Pungent"
防己,Fang Ji,Cold,"Bladder meridian,Lung meridian",Bitter
佛手,Fo Shou,Warm,"Lung meridian,Liver meridian,Spleen meridian,Stomach meridian","Bitter,Sour,Pungent"
茯苓,Fu Ling,Even,"Lung meridian,Spleen meridian,Kidney meridian,Heart meridian","Bland,Sweet"
浮萍,Fu Ping,Cold,Lung meridian,Pungent
附子,Fu Zi,Great hot,"Spleen meridian,Kidney meridian,Heart meridian","Sweet,Pungent"
覆盆子,Fu Pen Zi,Warm,N/AOthers meridian,"Sweet,Sour"
甘草,Gan Cao,Even,"Lung meridian,Spleen meridian,Stomach meridian,Heart meridian",Sweet
甘松,Gan Song,Warm,"Spleen meridian,Stomach meridian","Sweet,Pungent"
甘遂,Gan Sui,Cold,"Large intestine meridian,Lung meridian,Stomach meridian",Bitter
干姜,Gan Jiang,Hot,"Lung meridian,Spleen meridian,Kidney meridian,Stomach meridian,Heart meridian",Pungent
杠板归,Gong Ban Gui,Mildly cold,"Bladder meridian,Lung meridian",Sour
高良姜,Gao Liang Jiang,Hot,"Spleen meridian,Stomach meridian",Pungent
藁本,Gao Ben,Warm,Bladder meridian,Pungent
葛根,Ge Gen,Cool,"Lung meridian,Spleen meridian,Stomach meridian","Sweet,Pungent"
钩藤,Gou Teng,Cool,"Liver meridian,Pericardium meridianOthers meridian",Sweet
枸骨叶,Gou Gu Ye,Even,Stomach meridian,"Bitter,Astringent"
枸杞子,Gou Qi Zi,Even,"Liver meridian,Kidney meridian",Sweet
谷精草,Gu Jing Cao,Even,"Lung meridian,Liver meridian","Sweet,Pungent"
骨碎补,Gu Sui Bu,Warm,"Liver meridian,Kidney meridian",Bitter
瓜蒌,Gua Lou,Cold,"Large intestine meridian,Lung meridian,Stomach meridian","Sweet,Mildly bitter"
广藿香,Guang Huo Xiang,Warm,"Spleen meridian, Stomach meridian, Lung meridian",Pungent
广金钱草,Guang Jin Qian Cao,Cool,"Bladder meridian,Liver meridian,Kidney meridian",Sweet
桂枝,Gui Zhi,Warm,"Bladder meridian,Lung meridian,Heart meridian","Sweet,Pungent"
海风藤,Hai Feng Teng,Mildly warm,Liver meridian,"Bitter,Pungent"
海金沙,Hai Jin Sha,Cold,"Bladder meridian,Small intestine meridianOthers meridian","Sweet,Salty"
海藻（羊栖菜）,Hai Zao （Yang Qi Cai ）,Cold,"Liver meridian,Triple burner meridian,Kidney meridian,Stomach meridianOthers meridian","Bitter,Salty"
诃子,He Zi,Even,"Large intestine meridian,Lung meridian","Bitter,Astringent,Sour"
合欢花,He Huan Hua,Even,"Liver meridian,Heart meridian",Sweet
合欢皮,He Huan Pi,Even,"Lung meridian,Liver meridian,Heart meridian",Sweet
何首乌,He Shou Wu,Mildly warm,"Liver meridian,Kidney meridian,Heart meridian","Sweet,Bitter,Astringent"
荷叶,He Ye,Even,"Liver meridian,Spleen meridian,Stomach meridian",Bitter
黑豆,Hei Dou,Even,"Spleen meridian,Kidney meridian",Sweet
黑芝麻,Hei Zhi Ma,Even,"Large intestine meridian,Liver meridian,Kidney meridian",Sweet
黑种草子,Hei Zhong Cao Zi,Warm,N/AOthers meridian,"Sweet,Pungent"
红参,Hong Shen,Warm,"Lung meridian,Spleen meridian,Triple burner meridian,Kidney meridian,Heart meridianOthers meridian","Sweet,Mildly bitter"
红花,Hong Hua,Warm,"Liver meridian,Heart meridian",Pungent
红景天,Hong Jing Tian,Even,"Lung meridian,Heart meridian","Sweet,Bitter"
厚朴,Hou Pu,Warm,"Large intestine meridian,Lung meridian,Spleen meridian,Stomach meridian","Bitter,Pungent"
胡黄连,Hu Huang Lian,Cold,"Large intestine meridian,Liver meridian,Stomach meridian",Bitter
胡椒,Hu Jiao,Hot,"Large intestine meridian,Stomach meridian",Pungent
胡芦巴,Hu Lu Ba,Warm,Kidney meridian,Bitter
槲寄生,Hu Ji Sheng,Even,"Liver meridian,Kidney meridian",Bitter
虎杖,Hu Zhang,Mildly cold,"Gallbladder meridian,Lung meridian,Liver meridian",Mildly bitter
花椒,Hua Jiao,Warm,"Spleen meridian,Kidney meridian,Stomach meridian",Pungent
化橘红,Hua Ju Hong,Warm,"Lung meridian, Spleen meridian","Pungent,Bitter"
槐花,Huai Hua,Mildly cold,"Large intestine meridian,Liver meridian",Bitter
槐角,Huai Jiao,Cold,"Large intestine meridian,Liver meridian",Bitter
黄柏,Huang Bai,Cold,"Bladder meridian,Kidney meridian",Bitter
黄精,Huang Jing,Even,"Lung meridian,Spleen meridian,Kidney meridian",Sweet
黄连,Huang Lian,Cold,"Large intestine meridian,Gallbladder meridian,Liver meridian,Spleen meridian,Stomach meridian,Heart meridian",Bitter
黄芪,Huang Qi,Mildly warm,"Lung meridian,Spleen meridian",Sweet
黄芩,Huang Qin,Cold,"Large intestine meridian,Gallbladder meridian,Lung meridian,Spleen meridian,Small intestine meridianOthers meridian",Bitter
黄山药,Huang Shan Yao,Even,"Stomach meridian,Heart meridian","Bitter,Mildly pungent"
黄蜀葵花,Huang Shu Kui Hua,Cold,"Bladder meridian,Kidney meridian",Sweet
火麻仁,Huo Ma Ren,Even,"Large intestine meridian,Spleen meridian,Stomach meridian",Sweet
鸡骨草,Ji Gu Cao,Cool,"Liver meridian,Stomach meridian","Sweet,Mildly bitter"
鸡冠花,Ji Guan Hua,Cool,"Large intestine meridian,Liver meridian","Sweet,Astringent"
鸡血藤,Ji Xue Teng,Warm,"Liver meridian,Kidney meridian","Sweet,Bitter"
积雪草,Ji Xue Cao,Cold,"Liver meridian,Spleen meridian,Kidney meridian","Bitter,Pungent"
急性子,Ji Xing Zi,Warm,"Lung meridian,Liver meridian","Mildly bitter,Pungent"
蒺藜,Ji Li,Mildly warm,Liver meridian,"Bitter,Pungent"
姜黄,Jiang Huang,Warm,"Liver meridian,Spleen meridian","Bitter,Pungent"
降香,Jiang Xiang,Warm,"Liver meridian,Spleen meridian",Pungent
焦栀子,Jiao Zhi Zi,Cold,"Lung meridian,Triple burner meridian,Heart meridianOthers meridian",Bitter
芥子,Jie Zi,Warm,Lung meridian,Pungent
金沸草,Jin Fei Cao,Warm,"Large intestine meridian,Lung meridian","Bitter,Salty,Pungent"
金果榄,Jin Guo Lan,Cold,"Large intestine meridian,Lung meridian",Bitter
金钱草,Jin Qian Cao,Mildly cold,"Bladder meridian,Gallbladder meridian,Liver meridian,Kidney meridian","Sweet,Salty"
金铁锁,Jin Tie Suo,Warm,Liver meridian,"Bitter,Pungent"
金银花,Jin Yin Hua,Cold,"Lung meridian,Stomach meridian,Heart meridian",Sweet
金樱子,Jin Ying Zi,Even,"Bladder meridian,Large intestine meridian,Kidney meridian","Sweet,Astringent,Sour"
筋骨草,Jin Gu Cao,Cold,Lung meridian,Bitter
荆芥,Jing Jie,Mildly warm,"Lung meridian,Liver meridian","Astringent,Pungent"
九里香,Jiu Li Xiang,Warm,N/AOthers meridian,"Mildly bitter,Pungent"
韭菜子,Jiu Cai Zi,Warm,"Liver meridian,Kidney meridian","Sweet,Pungent"
救必应,Jiu Bi Ying,Cold,"Large intestine meridian,Lung meridian,Liver meridian,Stomach meridian",Bitter
桔梗,Jie Geng,Even,Lung meridian,"Bitter,Pungent"
菊花,Ju Hua,Mildly cold,"Lung meridian,Liver meridian","Sweet,Bitter"
菊苣,Ju Ju,Cool,"Gallbladder meridian,Liver meridian,Stomach meridian","Mildly bitter,Salty"
橘核,Ju He,Even,"Liver meridian,Kidney meridian",Bitter
卷柏,Juan Bai,Even,"Liver meridian,Heart meridian",Pungent
决明子,Jue Ming Zi,Mildly cold,"Large intestine meridian,Liver meridian","Sweet,Bitter,Salty"
榼藤子,Ke Teng Zi,Cool,"Liver meridian,Spleen meridian,Kidney meridian,Stomach meridian",Mildly bitter
苦参,Ku Shen,Cold,"Bladder meridian,Large intestine meridian,Liver meridian,Stomach meridian,Heart meridian",Bitter
苦地丁,Ku Di Ding,Cold,"Large intestine meridian,Liver meridian,Heart meridian",Bitter
苦楝皮,Ku Lian Pi,Cold,"Liver meridian,Spleen meridian,Stomach meridian",Bitter
苦木,Ku Mu,Cold,"Large intestine meridian,Lung meridian",Bitter
苦杏仁,Ku Xing Ren,Warm,"Lung meridian, Large intestine meridian",Bitter
苦玄参,Ku Xuan Shen,Cold,"Lung meridian,Liver meridian,Stomach meridian",Bitter
款冬花,Kuan Dong Hua,Warm,Lung meridian,"Mildly bitter,Pungent"
昆布,Kun Bu,Cold,"Liver meridian,Kidney meridian,Stomach meridian",Salty
辣椒,La Jiao,Hot,"Spleen meridian,Heart meridian",Pungent
莱菔子,Lai Fu Zi,Mildly cold,"Lung meridian,Liver meridian,Stomach meridian","Sweet,Bitter"
狼毒,Lang Du,Even,"Liver meridian,Spleen meridian",Pungent
老鹳草,Lao Guan Cao,Even,"Liver meridian,Spleen meridian,Kidney meridian","Bitter,Pungent"
雷公藤,Lei Gong Teng,Cool,"Liver meridian,Triple burner meridian,Kidney meridianOthers meridian","Bitter,Pungent"
连钱草,Lian Qian Cao,Mildly cold,"Bladder meridian,Liver meridian,Kidney meridian","Mildly bitter,Pungent"
连翘,Lian Qiao,Mildly cold,"Lung meridian,Small intestine meridian,Heart meridianOthers meridian",Bitter
莲子,Lian Zi,Even,"Spleen meridian,Kidney meridian,Heart meridian","Sweet,Astringent"
莲子心,Lian Zi Xin,Cold,"Kidney meridian,Heart meridian",Bitter
两面针,Liang Mian Zhen,Even,"Liver meridian, Stomach meridian","Bitter,Pungent"
蓼大青叶,Liao Da Qing Ye,Cold,"Stomach meridian,Heart meridian",Bitter
灵芝,Ling Zhi,Even,"Lung meridian,Liver meridian,Kidney meridian,Heart meridian",Sweet
龙胆,Long Dan,Cold,"Gallbladder meridian,Liver meridian",Bitter
龙葵,Long Kui,Cold,"Bladder meridian,Liver meridian,Kidney meridian","Bitter,Mildly sweet"
龙眼肉,Long Yan Rou,Warm,Heart and spleen meridiansOthers meridian,Sweet
漏芦,Lou Lu,Cold,Stomach meridian,Bitter
芦根,Lu Gen,Cold,"Bladder meridian,Lung meridian,Stomach meridian",Sweet
芦荟,Lu Hui,Cold,"Large intestine meridian,Liver meridian",Bitter
鹿衔草,Lu Xian Cao,N/A,N/AOthers meridian,N/A
路路通,Lu Lu Tong,Even,"Bladder meridian,Liver meridian",Bitter
罗布麻叶,Luo Bu Ma Ye,Cool,Liver meridian,"Sweet,Bitter"
罗汉果,Luo Han Guo,Cool,"Spleen meridian,Spleen meridian",Sweet
络石藤,Luo Shi Teng,Mildly cold,"Liver meridian,Kidney meridian,Heart meridian","Bitter,Pungent"
麻黄,Ma Huang,Warm,"Bladder meridian,Lung meridian","Mildly bitter,Pungent"
麻黄根,Ma Huang Gen,Even,Lung meridian,"Sweet,Mildly astringent"
马鞭草,Ma Bian Cao,Cold,"Liver meridian,Spleen meridian","Bitter,Pungent"
马齿苋,Ma Chi Xian,Cold,"Large intestine meridian,Liver meridian",Sour
马兜铃,Ma Dou Ling,Mildly cold,"Large intestine meridian,Lung meridian",Bitter
马钱子,Ma Qian Zi,Cold,"Liver meridian,Spleen meridian",Bitter
麦冬,Mai Dong,Mildly cold,"Lung meridian,Stomach meridian,Heart meridian","Sweet,Mildly bitter"
麦芽,Mai Ya,Even,"Spleen meridian,Stomach meridian",Sweet
满山红,Man Shan Hong,Cold,Lung meridian,"Bitter,Pungent"
蔓荆子,Man Jing Zi,Mildly cold,"Bladder meridian,Liver meridian,Stomach meridian","Bitter,Pungent"
没药,Mo Yao,Even,"Liver meridian,Spleen meridian,Heart meridian","Bitter,Pungent"
玫瑰花,Mei Gui Hua,Warm,"Liver meridian,Spleen meridian","Sweet,Mildly bitter"
密蒙花,Mi Meng Hua,Mildly cold,Liver meridian,Sweet
绵萆薢,Mian Bi Xie,Even,"Kidney meridian,Stomach meridian",Bitter
明党参,Ming Dang Shen,Mildly cold,"Lung meridian,Liver meridian,Spleen meridian","Sweet,Mildly bitter"
墨旱莲,Mo Han Lian,Cool,"Kidney meridian, Liver meridian","Sweet,Sour"
牡丹皮,Mu Dan Pi,Mildly cold,"Liver meridian,Kidney meridian,Heart meridian","Bitter,Pungent"
牡荆叶,Mu Jing Ye,Even,Lung meridian,"Mildly bitter,Pungent"
木鳖子,Mu Bie Zi,Cool,"Liver meridian,Spleen meridian,Stomach meridian","Bitter,Mildly sweet"
木瓜,Mu Gua,Warm,"Liver meridian,Spleen meridian",Sour
木蝴蝶,Mu Hu Die,Cool,"Liver meridian,Lung meridian,Stomach meridian","Sweet,Bitter"
木通,Mu Tong,Cold,"Bladder meridian,Small intestine meridian,Heart meridianOthers meridian",Bitter
木香,Mu Xiang,Warm,"Large intestine meridian,Gallbladder meridian,Spleen meridian,Triple burner meridian,Stomach meridianOthers meridian","Bitter,Pungent"
木贼,Mu Zei,Even,"Lung meridian,Liver meridian","Sweet,Bitter"
南鹤虱,Nan He Shi,Even,"Spleen meridian,Stomach meridian","Bitter,Pungent"
南五味子,Nan Wu Wei Zi,Warm,"Lung meridian,Kidney meridian,Heart meridian","Sweet,Sour"
闹羊花,Nao Yang Hua,Warm,Liver meridian,Pungent
牛蒡子,Niu Bang Zi,Cold,"Lung meridian,Stomach meridian","Bitter,Pungent"
牛膝,Niu Xi,Even,"Liver meridian,Kidney meridian","Sweet,Bitter,Sour"
女贞子,Nv Zhen Zi,Cool,"Liver meridian,Kidney meridian","Sweet,Bitter"
藕节,Ou Jie,Even,"Lung meridian,Liver meridian,Stomach meridian","Sweet,Astringent"
胖大海,Pang Da Hai,Cold,"Large intestine meridian,Lung meridian",Sweet
佩兰,Pei Lan,Even,"Lung meridian,Spleen meridian,Stomach meridian",Pungent
枇杷叶,Pi Pa Ye,Mildly cold,"Lung meridian,Stomach meridian",Bitter
偏头七,Pian Tou Qi,Cold,"Liver meridian,Spleen meridian,Kidney meridian","Bitter,Mildly sweet"
平贝母,Ping Bei Mu,Mildly cold,"Lung meridian,Heart meridian","Sweet,Bitter"
蒲公英,Pu Gong Ying,Cold,"Liver meridian,Stomach meridian","Sweet,Bitter"
蒲黄,Pu Huang,Even,"Liver meridian,Pericardium meridianOthers meridian",Sweet
千金子,Qian Jin Zi,Warm,"Large intestine meridian,Liver meridian,Kidney meridian",Pungent
千里光,Qian Li Guang,Cold,"Lung meridian,Liver meridian",Bitter
牵牛子,Qian Niu Zi,Cold,"Large intestine meridian,Lung meridian,Kidney meridian",Bitter
前胡,Qian Hu,Mildly cold,Lung meridian,"Bitter,Pungent"
芡实,Qian Shi,Even,"Spleen meridian,Kidney meridian","Sweet,Astringent"
茜草,Qian Cao,Cold,Liver meridian,Bitter
羌活,Qiang Huo,Warm,"Bladder meridian,Kidney meridian","Bitter,Pungent"
秦艽,Qin Jiao,Even,"Gallbladder meridian,Liver meridian,Stomach meridian","Bitter,Pungent"
青风藤,Qing Feng Teng,Even,"Liver meridian,Spleen meridian","Bitter,Pungent"
青果,Qing Guo,Even,"Lung meridian,Stomach meridian","Sweet,Sour"
青蒿,Qing Hao,Cold,"Gallbladder meridian,Liver meridian","Bitter,Pungent"
青皮,Qing Pi,Warm,"Liver meridian, Gallbladder meridian, Stomach meridian","Bitter,Pungent"
青葙子,Qing Xiang Zi,Mildly cold,Liver meridian,Bitter
青叶胆,Qing Ye Dan,Cold,"Bladder meridian,Gallbladder meridian,Liver meridian","Sweet,Bitter"
拳参,Quan Shen,Mildly cold,"Large intestine meridian,Lung meridian,Liver meridian","Bitter,Astringent"
人参,Ren Shen,Mildly warm,"Lung meridian,Spleen meridian,Kidney meridian,Heart meridian","Sweet,Mildly bitter"
人参叶,Ren Shen Ye,Cold,"Lung meridian,Stomach meridian","Sweet,Bitter"
忍冬藤,Ren Dong Teng,Cold,"Lung meridian,Stomach meridian",Sweet
肉苁蓉,Rou Cong Rong,Warm,"Large intestine meridian,Kidney meridian","Sweet,Salty"
肉豆蔻,Rou Dou Kou,Warm,"Large intestine meridian,Spleen meridian,Stomach meridian",Pungent
肉桂,Rou Gui,Great hot,"Liver meridian,Spleen meridian,Kidney meridian,Heart meridian","Sweet,Pungent"
乳香,Ru Xiang,Warm,"Liver meridian,Spleen meridian,Heart meridian","Bitter,Pungent"
三白草,San Bai Cao,Cold,"Bladder meridian,Lung meridian","Sweet,Pungent"
三颗针,San Ke Zhen,Cold,"Large intestine meridian,Liver meridian,Stomach meridian",Bitter
三棱,San Leng,Even,"Liver meridian,Spleen meridian","Bitter,Pungent"
三七,San Qi,Warm,"Liver meridian,Stomach meridian","Sweet,Mildly bitter"
桑白皮,Sang Bai Pi,Cold,Lung meridian,Sweet
桑寄生,Sang Ji Sheng,Even,"Liver meridian,Kidney meridian","Sweet,Bitter"
桑叶,Sang Ye,Cold,"Lung meridian,Liver meridian","Sweet,Bitter"
桑枝,Sang Zhi,Even,Liver meridian,Mildly bitter
砂仁,Sha Ren,Warm,"Spleen meridian,Kidney meridian,Stomach meridian",Pungent
山慈菇,Shan Ci Gu,Cool,"Liver meridian,Spleen meridian","Sweet,Mildly pungent"
山豆根,Shan Dou Gen,Cold,"Lung meridian,Stomach meridian",Bitter
山柰,Shan Nai,Cold,"Lung meridian,Liver meridian",Bitter
山药,Shan Yao,Even,"Lung meridian,Spleen meridian,Kidney meridian",Sweet
山楂,Shan Zha,Mildly warm,"Liver meridian,Spleen meridian,Stomach meridian","Sweet,Sour"
山茱萸,Shan Zhu Yu,Mildly warm,"Liver meridian,Kidney meridian","Astringent,Sour"
商陆,Shang Lu,Cold,"Large intestine meridian,Lung meridian,Spleen meridian,Kidney meridian",Bitter
蛇床子,She Chuang Zi,Warm,Kidney meridian,"Bitter,Pungent"
射干,She Gan,Cold,Lung meridian,Bitter
升麻,Sheng Ma,Mildly cold,"Large intestine meridian,Lung meridian,Spleen meridian,Stomach meridian","Mildly sweet,Pungent"
生姜,Sheng Jiang,Mildly warm,"Lung meridian,Spleen meridian,Stomach meridian",Pungent
蓍草,Shi Cao,Even,"Bladder meridian,Lung meridian,Spleen meridian","Bitter,Sour"
石菖蒲,Shi Chang Pu,Warm,"Stomach meridian,Heart meridian","Bitter,Pungent"
石吊兰,Shi Diao Lan,Warm,Lung meridian,Bitter
石斛,Shi Hu,Mildly cold,"Stomach meridian,Triple burner meridian,Kidney meridianOthers meridian",Sweet
石榴皮,Shi Liu Pi,Warm,Large intestine meridian,"Astringent,Sour"
石韦,Shi Wei,Mildly cold,"Bladder meridian,Lung meridian","Sweet,Bitter"
使君子,Shi Jun Zi,Warm,"Spleen meridian,Stomach meridian",Sweet
柿蒂,Shi Di,Even,Stomach meridian,"Bitter,Astringent"
水飞蓟,Shui Fei Ji,Cool,"Gallbladder meridian,Liver meridian",Bitter
丝瓜络,Si Gua Luo,Even,"Lung meridian,Liver meridian,Stomach meridian",Sweet
